benchmark,model,run,min_epoch,max_epoch,experiment
cifar10,ResNet18_32x32,2024_11_14-14_03_03,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_09,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_22,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_27,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_34,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_37,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_52,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_56,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_03_58,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_04_00,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_04_03,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_04_04,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-14_04_05,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_00_43,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_01_03,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_01_38,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_01_56,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_02_39,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_00,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_19,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_29,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_36,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_43,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_03_56,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_04_06,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_04_07,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_06_00,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_57_40,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_57_42,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_57_55,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_57_56,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_58_40,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_58_48,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-15_59_13,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_00_07,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_00_16,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_00_40,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_01_00,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_01_32,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_03_12,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_03_13,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_54_26,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_54_33,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_55_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_55_20,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_55_28,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_55_30,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_55_47,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_56_19,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_56_54,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_57_22,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_57_33,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_58_05,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_58_34,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_59_22,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-16_59_49,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_46_37,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_47_08,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_47_48,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_48_11,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_48_13,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_48_44,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_49_20,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_49_36,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_49_49,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_49_50,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_50_04,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_50_50,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_51_15,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_51_23,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-17_51_34,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_40_10,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_40_49,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_41_22,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_41_30,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_41_41,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_42_37,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_42_38,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_43_09,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_43_12,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_43_34,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_44_09,1,300,orig
cifar10,ResNet18_32x32,2024_11_14-18_45_09,1,300,orig
